名稱,網址,圖片網址,分類
Gamma 提示詞助手,https://chatgpt.com/g/g-691881ad86908191921a05e73f04a2f5-gamma-ti-shi-ci-zhu-shou,https://plus.unsplash.com/premium_photo-1669077046748-6eabc790b495?q=80&w=880&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,AI 學習
Gemini AI 在國中小教育現場的應用方式,https://funfunaiedu.github.io/GeminiAILearning/,https://scontent-tpe1-1.xx.fbcdn.net/v/t39.30808-6/568105598_122160392474763530_9018119416764421214_n.jpg?stp=dst-jpg_p526x296_tt6&_nc_cat=111&ccb=1-7&_nc_sid=127cfc&_nc_ohc=xtKVPwQdSXMQ7kNvwH6M4Ko&_nc_oc=AdlU_SNy23DS1TdxoO-9tUa4evDEBc_htm-tI84MmU-MP2Kcfj8kuPO4FWFIVtyxEzM&_nc_zt=23&_nc_ht=scontent-tpe1-1.xx&_nc_gid=EXJkSoeoVBg-MTms_US2xw&oh=00_AffA9tqPrpTtA-1Zp26tb36Q2XyQ-0T0hhPtoQfY-vC_LQ&oe=68FF1E23,AI 學習
Gemini App 開發網頁服務很快，但資料只能存 Local嗎？,https://wolkesau.medium.com/gemini-app-%E9%96%8B%E7%99%BC%E7%B6%B2%E9%A0%81%E6%9C%8D%E5%8B%99%E5%BE%88%E5%BF%AB-%E4%BD%86%E8%B3%87%E6%96%99%E5%8F%AA%E8%83%BD%E5%AD%98-local%E5%97%8E-6366857883ff,https://miro.medium.com/v2/resize:fit:720/format:webp/1*V0etEwLZDwMtOnfQmQwhjw.png,AI 學習
Gemini Gems 提示詞優化工具,https://gemini.google.com/share/0900ce3708a9,https://images.unsplash.com/photo-1551947391-249dcb8ed976?q=80&w=1074&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,AI 學習
Google Whisk,https://labs.google/fx/tools/whisk/project,https://images.unsplash.com/photo-1565117711038-1e0a80eed005?ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&q=80&w=687,AI 學習
Puti-AI  跨時空智慧對話平台,https://student.magicschool.ai/s/rooms/16ed6d0c-3fe2-4a7d-90b5-ecea75c0037a/tools/a5b9a4ff-9c95-4da7-93ea-80af8961485e?roomToolId=a5b9a4ff-9c95-4da7-93ea-80af8961485e&thread=111417858,https://plus.unsplash.com/premium_photo-1663040233844-73be66819dd2?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Puti-AI、AI 學習
Puti-AI 知識轉化機,https://gemini.google.com/share/0f13e31a912b,https://plus.unsplash.com/premium_photo-1675644727129-9e2fbc03c500?q=80&w=1944&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Puti-AI、AI 學習
Puti-AI 教學工具庫,https://padlet.com/clongwh/puti-ai-teaching-tool-library-tifvrvjcpg51cw7r,https://images.unsplash.com/photo-1558021211-6d1403321394?q=80&w=726&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Puti-AI、AI 學習
Puti-AI 作文引導單產生器,https://student.magicschool.ai/s/rooms/a3a79036-25d2-412f-930e-643af72c4f5d/tools/9722f0aa-364c-462d-821c-c97463af0a8a?roomToolId=9722f0aa-364c-462d-821c-c97463af0a8a&thread=111419299,https://images.unsplash.com/photo-1456324504439-367cee3b3c32?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Puti-AI、班級經營與教學
Puti-AI 作文引導單產生器(gemini),https://gemini.google.com/share/9c5df173c297,https://images.unsplash.com/photo-1456324504439-367cee3b3c32?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%4D,Puti-AI、班級經營與教學
Puti-AI 作文批閱小老師,https://gemini.google.com/share/67ed96b9986c,https://images.unsplash.com/photo-1488722796624-0aa6f1bb6399?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Puti-AI、班級經營與教學
Puti-AI 批量作文批閱助手,https://student.magicschool.ai/s/rooms/5563a449-ee90-4086-a2d4-6ee991752f18/tools/26b2b580-ef48-40bc-ade6-53d531c89738?roomToolId=26b2b580-ef48-40bc-ade6-53d531c89738&thread=111418994,https://images.unsplash.com/photo-1434030216411-0b793f4b4173?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Puti-AI、班級經營與教學
Puti-AI 教學應用助手,https://gemini.google.com/share/97318ad09022,https://plus.unsplash.com/premium_photo-1661685406997-4a12e21a0a8e?q=80&w=1332&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Puti-AI、班級經營與教學
Puti-AI 智慧心得助手,https://gemini.google.com/share/ab2f7b5226ee,https://images.unsplash.com/photo-1528938102132-4a9276b8e320?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Puti-AI、班級經營與教學
Puti-AI 數位觀課助手,https://gemini.google.com/gem/507f71e3ba92,https://images.unsplash.com/photo-1453728013993-6d66e9c9123a?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Puti-AI、班級經營與教學
Puti-AI 親師溝通助手,https://student.magicschool.ai/s/rooms/73b80e64-2d44-4bda-bf59-35dae359cf6f/tools/969a38cd-bbe3-47a2-b36f-fc17493cca2b?roomToolId=969a38cd-bbe3-47a2-b36f-fc17493cca2b&thread=111415424,https://images.unsplash.com/photo-1515187029135-18ee286d815b?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Puti-AI、班級經營與教學
Puti-AI 教育用提示詞助手,https://gemini.google.com/share/54e3ecb0c8b8,https://plus.unsplash.com/premium_photo-1726079246917-46f2b37f7e9e?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Puti-AI、班級經營與教學、AI 學習
方方老師個人網頁,https://changsheng0612.notion.site/funfun-edu-ai,https://changsheng0612.notion.site/image/https%3A%2F%2Fprod-files-secure.s3.us-west-2.amazonaws.com%2F0d57f50c-1080-44fe-9b68-bbe7d53039fd%2F3a74c48d-ad91-4055-a3dd-7ed32db6e44a%2F1.png?table=block&id=90613dbd-6f2f-4571-84d0-1748eebffeff&spaceId=0d57f50c-1080-44fe-9b68-bbe7d53039fd&width=2000&userId=&cache=v2,方方老師、AI 學習
AI 作文小助教,https://poe.com/FunFun.Tutor-Writing,https://images.unsplash.com/photo-1456324504439-367cee3b3c32?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,方方老師、班級經營與教學
素養導向評量設計助手,https://poe.com/FunFun-Design.Exam,https://images.unsplash.com/photo-1606326608606-aa0b62935f2b?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,方方老師、班級經營與教學
跨領域教案設計助手,https://poe.com/FunFun-plan.design,https://plus.unsplash.com/premium_photo-1661400138823-cc752d5aa2c3?q=80&w=1275&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,方方老師、班級經營與教學
方方老師 教育AI工具箱,https://chunsheng612.github.io/FunFun.AI-Website/,https://plus.unsplash.com/premium_photo-1661284828052-ea25d6ea94cd?ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&q=80&w=2070,方方老師、班級經營與教學、AI 學習
AI 貼圖生成小工具,https://gemini.google.com/share/ad8e0656101a,https://images.unsplash.com/photo-1614639935349-3507fee706d1?q=80&w=765&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,方方老師、圖片工具
特教 x AI 數位應用,https://www.instagram.com/spedmix2025,https://plus.unsplash.com/premium_photo-1663099231979-8783a39dfad0?ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&q=80&w=2070,米克老師、班級經營與教學、AI 學習
HSEEP緊急支援功能 ,https://notebooklm.google.com/notebook/c6ffea51-e097-4b29-b7ed-14ae58ce3b7e,images/disaster.jpg,防災教育
台灣全民安全指引,https://adma.mnd.gov.tw/files/web/191/file_up/100004/65/%E7%95%B6%E5%8D%B1%E6%A9%9F%E4%BE%86%E8%87%A8%E6%99%82%EF%BC%9A%E8%87%BA%E7%81%A3%E5%85%A8%E6%B0%91%E5%AE%89%E5%85%A8%E6%8C%87%E5%BC%95.pdf,https://www.slsh.ntpc.edu.tw/var/file/0/1000/pictures/660/m/mczh-tw700x700_large1686_679386628157.jpg,防災教育
緊急避難包大富翁,https://filedn.com/lCXDJ0KVgPiHkoT0UEXlM1m/monopoly/index.html,images/disaster.jpg,防災教育
校園學生受傷事件緊急處理流程,https://gemini.google.com/share/698f67e1b8eb,images/disaster.jpg,防災教育、學校行政
阿剛老師的AI自製軟體地圖,https://filedn.com/laMtL9jmKf7JrDEQG0A6OPy/html/list/list-out.html,https://images.unsplash.com/photo-1758685849121-c24d74e8f775?q=80&w=1332&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,阿剛老師、AI 學習
阿剛老師的異想世界,https://kentxchang.blogspot.com/,https://images.unsplash.com/photo-1758685849121-c24d74e8f775?q=80&w=1332&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,阿剛老師、AI 學習
阿貴校長的GPT,https://ezschool.tw/modules/tad_uploader/index.php?of_cat_sn=42,https://excellence.itmonth.org.tw/rwd/110/images/008.jpg,阿貴校長、AI 學習
幼兒園園務工作小幫手,https://chatgpt.com/g/g-WTIp9YMJQ-you-er-yuan-yuan-wu-xiao-bang-shou/c/6918304c-81e8-8332-a98a-04bca974b2f2,https://excellence.itmonth.org.tw/rwd/110/images/008.jpg,阿貴校長、幼兒園
阿貴校長的校長甄選筆試解題助理,https://chatgpt.com/g/g-675e8c5c57e8819181ed219ba0f6ef15-a-gui-xiao-chang-de-xiao-chang-zhen-xuan-bi-shi-jie-ti-zhu-li,https://excellence.itmonth.org.tw/rwd/110/images/008.jpg,阿貴校長、校長甄試
阿貴校長的教師甄選口試解題助理,https://chatgpt.com/g/g-67662fe19154819180fce96d57f63ea9-a-gui-xiao-chang-de-jiao-shi-zhen-xuan-kou-shi-jie-ti-zhu-li,https://excellence.itmonth.org.tw/rwd/110/images/008.jpg,阿貴校長、班級經營與教學
阿貴校長的教案產生助理,https://chatgpt.com/g/g-68b8265856a4819184a50c67003a2692-a-gui-xiao-chang-de-jiao-an-chan-sheng-zhu-li,https://excellence.itmonth.org.tw/rwd/110/images/008.jpg,阿貴校長、班級經營與教學
